 playing on 	boy 	 baseball field
 next to 	ladder 	 house
 has some 	tail 	 lines
 of 	front 	 bus
 ON 	paint container 	 table
 ON 	lines 	 orange
 on a 	shirt 	 guy
 IN 	goop 	 bowl
 hanging behind 	pokeman logo 	 guy
 supporting 	finger tip 	 pencil
 IN 	light 	 circle
 IN 	bench 	 city
 has 	crane 	 white
 on 	cat bowl 	 newspaper
 on 	carpet 	 ground
 has 	beach 	 waves
 printed on 	word 	 logo
 OF 	shadows 	 trees
 has 	boiler 	 door
 has 	woman 	 sneakers
 OF 	helmet 	 catcher
 next to 	pile 	 building
 says 	sign 	 not enter
 ON 	roman numeral vi 	 clock
 holds 	lady 	 toy jack
 standing on 	one zebra 	 ground
 on a 	bucket 	 heater
 ON 	chip 	 plate
 IN 	sail boat 	 distance
 fence 	white 	 gate
 below 	fence 	 giraffe
 raise 	person 	 arm
 at 	man 	 bus
 with 	desk 	 area
 on top of 	bag 	 cart
 ON 	dog 	 dirt path
 IN 	people 	 phone
 mounted to 	bar 	 wall
 goes down 	water 	 drain
 OF 	lines 	 road
 OF 	tail section 	 passenger plane
 mounted on 	tire 	 truck
 of a 	head 	 calf
 side 	table 	 bed
 plate 	the 	 white
 by 	sign 	 airplane
 on 	flag 	 pillar
 in front of 	stair 	 house
 has 	hook 	 white knob
 helping 	dad 	 boy
 filled with 	bins 	 vegetables
 ON 	toy 	 chair
 in 	tree 	 sidewalk
 on 	train 	 train
 of 	eye 	 bird
 IN 	giraffes 	 shade
 attached to 	strap 	 cord
 wears 	bear 	 christmas cap
 IN 	donut 	 hand
 ON 	potato 	 pantone brochure
 grasping 	hand 	 cellphone
 has 	blue jean jacket 	 sleeve
 on top of 	boy 	 floorboard
 ON 	board 	 bike
 in front of 	water glass 	 pizza
 with 	soap 	 flowered design
 IN 	lady 	 bench
 on top of 	computer 	 cabinet
 plays with 	boy 	 microwave
 under 	water 	 fire hydrant
 ON 	tip 	 spire
 ON 	circle 	 sail
 are inside of 	embers 	 oven
 ON 	helmet 	 cyclist
 above 	cord 	 toilet
 has a 	surfer 	 right hand
 IN 	tv tray 	 living room
 ON 	kitty 	 bag
 underneath 	tablecloth 	 plate
 standing on 	man 	 fire truck
 by 	placard 	 chest
 OF 	front part 	 shelf
 has a 	baseball player 	 waist
 ON 	cap 	 wine
 on 	vent 	 truck
 to left of 	girl 	 girl
 on 	trash bin 	 sidewalk
 walking behind 	girl 	 cart
 parked against 	bicycle 	 wall
 by 	kid 	 cheese
 with 	staircase 	 line
 in 	shake 	 jar
 AT THE 	scene 	 beach
 with 	stop light 	 arrow
 ON 	poster 	 bus shelter
 on 	tracks 	 gravel
 holding onto a 	woman 	 remote
 sitting on 	case 	 desk
 ON 	apron 	 man
 says 	signs 	 letter
 in a 	statue 	 window
 WEARING 	man 	 kilt
 ON 	mechanism 	 toilet
 near 	house 	 ground
 walking near 	elephant 	 road
 OF 	fuel tank 	 truck
 IN 	seaweed 	 sandwich
 on front of 	office door 	 building
 with 	coat 	 graphic
 WEARING 	girl 	 purple
 ON 	leaves 	 stalks
 close to 	street light 	 clock
 flying through 	bird 	 sky
 standing on a 	people 	 sidewalk
 with 	doll 	 tears
 for 	road sign 	 broadway
 ON 	sign 	 crosswalk
 on top of 	earphones 	 laptop
 lays on 	fork 	 pizza
 on head of 	visor 	 people
 for 	cargo lift 	 airplane
 with 	clipboard 	 clipboard
 IN 	palne 	 background
 beneath 	sauce 	 carrots
 standing on a 	man 	 platform
 WEARING 	motorcyclist 	 outfit
 OF 	eye 	 brown dog
 near 	breakwater 	 sand
 ON 	9 	 keyboard
 WEARING 	soldier 	 riding boot
 has 	step 	 moss
 pulling 	rope 	 girl
 walking beside 	horse 	 wagon
 on 	snowboard 	 man
 has 	train car 	 windows
 has 	fire hydrant 	 paint
 IN 	word 	 oven
 WEARING 	man 	 name tags
 has 	headboard 	 bed
 sitting on a 	lady 	 train
 above 	stoplight 	 street
 underneath 	carrier 	 desk
 under 	pot 	 bench
 next to 	dog 	 woman
 by 	baby 	 lamb
 behind 	green grass 	 zebras
 IN 	egg 	 container
 has 	figurine 	 eye
 has 	handle 	 key hole
 ON 	resting 	 pillow
 IN 	tree 	 front
 wears 	bike rider 	 red shirt
 behind 	people 	 wave
 standing in 	men 	 dugout
 ON 	airplanes 	 front
 behind 	street lamp 	 truck
 with 	hills 	 green grass
 eating 	bird 	 grass
 parked by 	motorcycle 	 sidewalk
 IN 	bottles 	 cardboard box
 between 	building 	 tower
 ON 	letter k 	 sign
 WEARING 	boy 	 gear
 seated on 	boy 	 floor
 ON 	girl 	 surfboard
 ON 	frame 	 building
 beside 	trucks 	 highway
 WEARING 	man 	 dress whites
 are on 	tracks 	 concrete
 has 	man 	 sneaker
 between 	embankment 	 grass
 OF 	right pane 	 window
 ON 	p 	 no parking
 next to 	bird 	 tree trunk
 in 	surfboard 	 sand
 in front of 	door 	 shop
 on top of 	stuffed bears 	 car
 has 	sidewalk 	 light
 ON 	paw 	 chest
 IN 	lemon 	 middle
 IN 	rod 	 hand
 style 	tiki 	 cup
 painted on 	stripe 	 engine
 WEARING 	shirt 	 shoes
 along 	rock wall 	 street
 ON 	taillights 	 black car
 has 	shoe 	 dragonfly
 IN 	plums 	 bag
 above 	hospital sign 	 freeway sign
 OF A 	side 	 wall
 are in a 	apples 	 crack
 has a 	man 	 bike
 has 	lady 	 redhair lady
 by 	electrical poles 	 tracks
 ON 	insignia 	 bike
 hanging on 	bag 	 tree
 ON 	aeroplane 	 ground
 on top of 	platform 	 platform
 for 	wing 	 jet
 ON 	number 3 	 wall
 WEARING 	woman 	 spandex
 built into 	windows 	 living room
 sits in 	dog 	 carpet
 spread on 	sheet 	 bed
 bears 	baby 	 eating
 watching 	audience 	 show
 beside 	suitcase 	 tracks
 ON 	stake 	 grass
 under 	plate 	 bread
 ON 	stop sign 	 sign post
 for 	sign 	 sandwich
 ON 	hoof 	 zebra
 touching 	person 	 trunk
 has 	decal 	 flower
 ON 	truck 	 city street
 IN 	umbrella 	 garden
 shirt 	person 	 green
 of 	plane front 	 airplane
 ON 	windows 	 floor
 flying in 	airplane 	 overcast sky
 WEARING 	child 	 bonnet
 ON 	scratcher 	 floor
 has 	plate 	 cookies
 IN 	female 	 goggles
 top 	table 	 varnished
 behind 	carriage 	 horse
 covering 	chocolate donut 	 chocolate donut
 has 	desk 	 peripherals
 has 	sheep 	 marking
 containing 	bowl 	 rice dish
 are in a 	bicycles 	 row
 of 	door 	 elevator
 ON 	gravel 	 railroad
 are above 	pipes 	 flusher
 has 	girl 	 lower torso
 IN 	dirt 	 bathtub
 has 	ring 	 gem
 by 	line 	 square
 IN 	sand 	 jar
 from 	white spray 	 ocean
 with 	pole 	 stop light
 IN 	reflexion 	 mirror
 Is on 	basket 	 wooden box
 IN 	eiffel tower 	 background
 OF 	cabinet 	 door
 sitting on 	fire hydrant 	 bottom grass
 in a 	bear 	 basket
 next to 	crane 	 train
 ON 	streetlight 	 building
 next to 	car 	 wall
 sitting next to 	teddy bear 	 wall
 behind 	chair 	 ottoman
 has 	kids 	 laptop
 has 	car 	 red top
 near 	planters 	 building
 above 	cord 	 floor
 for 	rack 	 drying
 ON 	goats 	 grass
 in a 	mix of veggies 	 container
 has 	bush 	 bud
 across from 	bush 	 tree
 ON 	gas sign 	 pole
 driving in 	taxi cab 	 middle lane
 full of 	boat 	 people
 ON 	animal 	 perch
 has a 	boy 	 lap
 has 	snowboard 	 bindings
 with 	toddler 	 shorts
 IN 	wheat stalks 	 vase
 protects 	knee pad 	 knees
 covering 	grass 	 infield
 on top of 	cookies 	 tray
 next to 	plate 	 cleat
 watching 	black dog 	 3 sheeps
 moving through 	truck 	 intersection
 with 	giraffe 	 neck
 IN 	guy 	 bat
 ON 	head 	 vase
 eating 	elephants 	 hay
 has a 	bathroom 	 toilet paper roll
